video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_15,duration_sec,popular,definition
nof2C9BtT2I,개장 수로 부터 겨우 데려온 강아지 은혜 를 아는 천재견 이었다 I KBS 동물 극장 단짝 230114 방송,891688,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,4,7,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,1818,1,1
Rd8HcEnO1qU,새롭 동물농장 척 하면 척 개인 기만 무려 40 가지 이상 환상 의 궁합 을 자랑 하는 한솔 씨 와 천재견 토리 EP 1217 TV 동물농장 AnimalFarm SBSstory,327882,SBS|SBSStory|SBS스토리|교양|스브스스토리|TV동물농장|동물농장|aniaml|animalfarm|신동엽|정선희|조이|동물|새롭동물농장|새롭동|신작|동물농장신작|동물농장 다시보기|동물농장 1217회|개|강아지|천재견|토리|유튜버|원샷한솔|OneshotHanso|김한솔|@OneshotHansol|소통천재|개인기천재|반려견|시각장애|보조견|안내견,0,1860000,4,7,1.2246467991473532e-16,-1.0,0.0,1.0,1,897,0,1
nof2C9BtT2I,개장 수로 부터 겨우 데려온 강아지 은혜 를 아는 천재견 이었다 I KBS 동물 극장 단짝 230114 방송,1078281,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,4,7,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,1818,1,1
Rd8HcEnO1qU,새롭 동물농장 척 하면 척 개인 기만 무려 40 가지 이상 환상 의 궁합 을 자랑 하는 한솔 씨 와 천재견 토리 EP 1217 TV 동물농장 AnimalFarm SBSstory,389818,SBS|SBSStory|SBS스토리|교양|스브스스토리|TV동물농장|동물농장|aniaml|animalfarm|신동엽|정선희|조이|동물|새롭동물농장|새롭동|신작|동물농장신작|동물농장 다시보기|동물농장 1217회|개|강아지|천재견|토리|유튜버|원샷한솔|OneshotHanso|김한솔|@OneshotHansol|소통천재|개인기천재|반려견|시각장애|보조견|안내견,0,1860000,4,7,1.2246467991473532e-16,-1.0,0.0,1.0,1,897,0,1
bbaKOHGgP7g,한국 에서 온 진돗개 의 유럽 첫 산책 우연히 만난 천재견 과 천재 조련사,104551,진돗개|에스토니아,0,35100,4,27,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,972,0,1
bbaKOHGgP7g,한국 에서 온 진돗개 의 유럽 첫 산책 우연히 만난 천재견 과 천재 조련사,126881,진돗개|에스토니아,0,35100,4,27,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,972,0,1
zcRxbO5aNS0,EN 꼭 보러 갈게 구조 자 찾아오자 유기견 이 보인 반응 메리 EP 2,253478,개st하우스|유기견|유기묘|반려동물|반려견|반려묘|강아지|고양이|애견|동물|임시보호|임보|강아지 입양|유기견 입양|입양|유기견 보호소|유기견 구조|강아지 구조|개스트하우스|개하우스|유기동물|개 하우스|유기견 변화|animal rescue korea|dog in shelter|korean village dog,1,122000,5,2,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1,387,0,1
zcRxbO5aNS0,EN 꼭 보러 갈게 구조 자 찾아오자 유기견 이 보인 반응 메리 EP 2,392659,개st하우스|유기견|유기묘|반려동물|반려견|반려묘|강아지|고양이|애견|동물|임시보호|임보|강아지 입양|유기견 입양|입양|유기견 보호소|유기견 구조|강아지 구조|개스트하우스|개하우스|유기동물|개 하우스|유기견 변화|animal rescue korea|dog in shelter|korean village dog,1,122000,5,2,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1,387,0,1
zcRxbO5aNS0,EN 꼭 보러 갈게 구조 자 찾아오자 유기견 이 보인 반응 메리 EP 2,530851,개st하우스|유기견|유기묘|반려동물|반려견|반려묘|강아지|고양이|애견|동물|임시보호|임보|강아지 입양|유기견 입양|입양|유기견 보호소|유기견 구조|강아지 구조|개스트하우스|개하우스|유기동물|개 하우스|유기견 변화|animal rescue korea|dog in shelter|korean village dog,1,122000,5,2,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1,387,0,1
zcRxbO5aNS0,EN 꼭 보러 갈게 구조 자 찾아오자 유기견 이 보인 반응 메리 EP 2,635871,개st하우스|유기견|유기묘|반려동물|반려견|반려묘|강아지|고양이|애견|동물|임시보호|임보|강아지 입양|유기견 입양|입양|유기견 보호소|유기견 구조|강아지 구조|개스트하우스|개하우스|유기동물|개 하우스|유기견 변화|animal rescue korea|dog in shelter|korean village dog,1,122000,5,2,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1,387,0,1
